"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","16-Apr-2026","1,348.10","1,352.00","1,366.90","1,340.20","1,343.90","1,345.50","1,351.63","2,40,17,236","32,46,24,01,733.80","3,69,800","72,48,933","30.18"
"ICICIBANK","EQ","15-Apr-2026","1,351.10","1,358.00","1,364.80","1,338.00","1,347.00","1,348.10","1,348.45","2,38,27,473","32,13,01,12,128.20","3,67,877","1,32,38,363","55.56"
"ICICIBANK","EQ","13-Apr-2026","1,321.90","1,304.90","1,357.00","1,296.70","1,347.00","1,351.10","1,336.01","3,05,72,141","40,84,46,87,271.30","3,91,182","1,88,70,489","61.72"
"ICICIBANK","EQ","10-Apr-2026","1,281.30","1,289.00","1,324.00","1,288.50","1,322.80","1,321.90","1,317.23","1,81,74,755","23,94,03,99,460.20","2,65,455","1,06,95,254","58.85"
"ICICIBANK","EQ","09-Apr-2026","1,309.20","1,299.90","1,308.00","1,275.90","1,283.50","1,281.30","1,287.04","2,29,23,062","29,50,27,99,668.90","2,95,814","1,03,38,289","45.10"
"ICICIBANK","EQ","08-Apr-2026","1,245.50","1,310.00","1,333.50","1,292.40","1,309.10","1,309.20","1,307.02","2,51,48,651","32,86,97,93,000.90","2,67,068","1,47,46,595","58.64"
"ICICIBANK","EQ","07-Apr-2026","1,231.40","1,229.00","1,250.40","1,216.60","1,248.50","1,245.50","1,235.01","2,56,00,557","31,61,70,31,068.70","2,12,038","1,58,05,155","61.74"
"ICICIBANK","EQ","06-Apr-2026","1,215.80","1,213.00","1,234.40","1,200.50","1,228.60","1,231.40","1,218.09","1,00,58,414","12,25,20,23,145.80","1,31,870","58,72,971","58.39"
"ICICIBANK","EQ","02-Apr-2026","1,212.70","1,196.00","1,222.10","1,187.60","1,216.50","1,215.80","1,204.91","2,08,51,722","25,12,44,02,749.50","3,46,186","96,40,544","46.23"
"ICICIBANK","EQ","01-Apr-2026","1,205.90","1,228.10","1,234.00","1,210.00","1,213.00","1,212.70","1,219.58","2,54,72,333","31,06,54,55,922.50","2,56,306","1,67,73,079","65.85"
"ICICIBANK","EQ","30-Mar-2026","1,233.80","1,216.50","1,222.60","1,200.40","1,211.80","1,205.90","1,211.37","2,39,52,775","29,01,57,83,813.00","2,24,335","93,92,575","39.21"
"ICICIBANK","EQ","27-Mar-2026","1,259.70","1,256.00","1,260.90","1,230.10","1,237.90","1,233.80","1,241.91","2,36,30,905","29,34,75,00,695.00","2,80,968","1,68,67,704","71.38"
"ICICIBANK","EQ","25-Mar-2026","1,251.20","1,258.90","1,272.90","1,254.40","1,258.40","1,259.70","1,262.48","1,72,90,030","21,82,83,49,228.10","2,45,636","86,56,583","50.07"
"ICICIBANK","EQ","24-Mar-2026","1,222.70","1,237.10","1,253.90","1,223.70","1,252.60","1,251.20","1,242.48","2,06,17,782","25,61,72,06,863.50","2,41,682","1,14,75,766","55.66"
"ICICIBANK","EQ","23-Mar-2026","1,245.40","1,226.60","1,234.90","1,218.10","1,225.00","1,222.70","1,225.36","1,70,49,534","20,89,17,71,051.10","2,79,421","1,16,39,598","68.27"
"ICICIBANK","EQ","20-Mar-2026","1,250.10","1,258.40","1,274.00","1,241.70","1,249.80","1,245.40","1,256.05","1,64,21,006","20,62,56,09,488.50","3,20,542","1,16,85,036","71.16"
"ICICIBANK","EQ","19-Mar-2026","1,289.30","1,267.60","1,285.90","1,243.70","1,259.70","1,250.10","1,258.87","1,44,22,899","18,15,66,25,895.60","2,85,591","65,90,960","45.70"
"ICICIBANK","EQ","18-Mar-2026","1,288.70","1,286.00","1,297.10","1,270.80","1,292.00","1,289.30","1,287.83","1,29,61,135","16,69,17,03,269.00","2,24,259","80,74,954","62.30"
"ICICIBANK","EQ","17-Mar-2026","1,272.90","1,278.90","1,294.40","1,273.00","1,287.00","1,288.70","1,285.58","2,23,03,102","28,67,25,15,530.30","2,42,007","96,99,357","43.49"
