underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
ICICIBANK,1387,1370.0,30-06-2026,PUT,2.9,2.65,2.9,10128,1951,0.1477,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,2.775
ICICIBANK,1387,1380.0,30-06-2026,CALL,14.15,13.75,14.35,8366,1489,0.13970000000000002,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,14.05
ICICIBANK,1387,1380.0,30-06-2026,PUT,5.0,5.0,5.1,18690,2291,0.1353,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,5.05
ICICIBANK,1387,1390.0,30-06-2026,CALL,7.4,7.35,7.65,18828,3948,0.1225,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,7.5
ICICIBANK,1387,1390.0,30-06-2026,PUT,8.4,8.2,8.5,17527,2675,0.121,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,8.35
ICICIBANK,1387,1400.0,30-06-2026,CALL,3.65,3.65,3.8,29155,3717,0.12300000000000001,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,3.7249999999999996
ICICIBANK,1387,1400.0,30-06-2026,PUT,14.85,14.25,14.7,8900,2158,0.1251,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,14.475
ICICIBANK,1387,1410.0,30-06-2026,CALL,2.0,1.95,2.1,19569,1377,0.1349,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,2.025
ICICIBANK,1387,1410.0,30-06-2026,PUT,22.25,21.4,28.3,1417,287,0.1133,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,24.85
ICICIBANK,1387,1420.0,30-06-2026,CALL,1.2,1.1,1.2,11232,1056,0.1494,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,1.15
