underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
TCS,2095.9,2140.0,30-06-2026,CALL,8.0,7.8,8.15,34999,3762,0.2322,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,7.975
TCS,2095.9,2140.0,30-06-2026,PUT,54.2,53.85,55.0,12461,2059,0.2945,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,54.425
TCS,2095.9,2160.0,30-06-2026,CALL,5.35,5.35,5.45,30212,4679,0.24989999999999998,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,5.4
TCS,2095.9,2160.0,30-06-2026,PUT,71.15,68.75,72.7,4797,1935,0.3184,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,70.725
TCS,2095.9,2180.0,30-06-2026,CALL,3.55,3.55,3.75,16839,4151,0.26530000000000004,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,3.65
TCS,2095.9,2180.0,30-06-2026,PUT,88.4,88.25,91.65,1109,1873,0.33299999999999996,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,89.95
TCS,2095.9,2200.0,30-06-2026,CALL,2.85,2.8,2.9,34956,12239,0.2928,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,2.8499999999999996
TCS,2095.9,2200.0,30-06-2026,PUT,110.6,107.3,110.0,1870,3902,0.4201,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,108.65
TCS,2095.9,2220.0,30-06-2026,CALL,1.95,1.95,2.1,15384,3615,0.3065,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,2.025
TCS,2095.9,2220.0,30-06-2026,PUT,129.1,125.85,129.9,445,1443,0.445,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,127.875
TCS,2095.9,2240.0,30-06-2026,CALL,1.65,1.55,1.65,11344,4688,0.3328,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,1.6
TCS,2095.9,2240.0,30-06-2026,PUT,147.75,147.2,149.8,212,1431,0.46619999999999995,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,148.5
TCS,2095.9,2260.0,30-06-2026,CALL,1.2,1.2,1.3,6652,5368,0.34740000000000004,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,1.25
TCS,2095.9,2260.0,30-06-2026,PUT,167.55,166.6,170.95,264,1678,0.5065999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,168.77499999999998
TCS,2095.9,2280.0,30-06-2026,CALL,0.9,0.9,1.0,3403,5296,0.3629,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.95
TCS,2095.9,2280.0,30-06-2026,PUT,185.45,183.65,191.4,345,2541,0.4984,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,187.525
TCS,2095.9,2300.0,30-06-2026,CALL,0.85,0.85,0.9,17025,19932,0.3909,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.875
TCS,2095.9,2300.0,30-06-2026,PUT,208.2,205.05,211.05,467,6276,0.6065999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,208.05
TCS,2095.9,2320.0,30-06-2026,CALL,0.65,0.65,0.75,1519,2685,0.405,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.7
TCS,2095.9,2320.0,30-06-2026,PUT,222.9,224.6,231.35,132,1883,0.4864,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,227.975
TCS,2095.9,2340.0,30-06-2026,CALL,0.6,0.55,0.6,1875,3328,0.4294,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.575
TCS,2095.9,2340.0,30-06-2026,PUT,252.4,244.2,250.9,247,1496,0.7797,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,247.55
TCS,2095.9,2360.0,30-06-2026,CALL,0.5,0.45,0.55,1329,2147,0.44659999999999994,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.5
TCS,2095.9,2360.0,30-06-2026,PUT,266.0,263.75,271.2,198,868,0.6694,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,267.475
TCS,2095.9,2380.0,30-06-2026,CALL,0.5,0.4,0.5,738,1216,0.47409999999999997,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.45
TCS,2095.9,2380.0,30-06-2026,PUT,257.0,284.0,289.85,162,969,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,286.925
TCS,2095.9,2400.0,30-06-2026,CALL,0.5,0.45,0.5,6394,11105,0.5011,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.475
TCS,2095.9,2400.0,30-06-2026,PUT,308.2,305.8,308.65,442,1870,0.8059999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,307.225
TCS,2095.9,2420.0,30-06-2026,CALL,0.35,0.3,0.4,278,1575,0.5047,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.35
TCS,2095.9,2420.0,30-06-2026,PUT,285.85,320.3,332.25,17,666,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,326.275
TCS,2095.9,2440.0,30-06-2026,CALL,0.4,0.3,0.4,228,2480,0.5387,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.35
TCS,2095.9,2440.0,30-06-2026,PUT,349.5,345.55,351.65,26,1324,0.9151,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,348.6
TCS,2095.9,2460.0,30-06-2026,CALL,0.3,0.25,0.35,535,2317,0.5451,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.3
TCS,2095.9,2460.0,30-06-2026,PUT,337.0,364.1,368.9,48,636,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,366.5
TCS,2095.9,2480.0,30-06-2026,CALL,0.25,0.25,0.4,393,1741,0.5579,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.325
TCS,2095.9,2480.0,30-06-2026,PUT,349.05,380.3,394.45,6,479,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,387.375
TCS,2095.9,2500.0,30-06-2026,CALL,0.2,0.2,0.25,1560,10331,0.5676,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.225
TCS,2095.9,2500.0,30-06-2026,PUT,392.55,403.6,410.35,133,1959,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,406.975
TCS,2095.9,2520.0,30-06-2026,CALL,0.25,0.2,0.3,132,1118,0.6047,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.25
TCS,2095.9,2520.0,30-06-2026,PUT,368.05,423.65,431.4,8,69,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,427.525
TCS,2095.9,2540.0,30-06-2026,CALL,0.25,0.2,0.35,304,694,0.6277,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.275
TCS,2095.9,2540.0,30-06-2026,PUT,411.0,440.0,454.8,8,472,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,447.4
TCS,2095.9,2560.0,30-06-2026,CALL,0.15,0.15,0.2,74,697,0.6171,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.175
TCS,2095.9,2560.0,30-06-2026,PUT,431.0,463.5,483.6,7,37,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,473.55
TCS,2095.9,2580.0,30-06-2026,CALL,0.2,0.15,0.35,54,1002,0.6573,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.25
